"","sentence.type","context","truth.value","rt","rt.cih","rt.cil"
"1","Negative","0/4","TRUE",1673.33888888889,1765.14166666667,1591.50513888889
"2","Positive","1/4","TRUE",1149.19444444444,1213.92894265233,1085.04509408602
"3","Negative","1/4","TRUE",1360.12903225806,1434.12802419355,1284.13387096774
"4","Positive","2/4","TRUE",1174.97554347826,1253.44945652174,1106.4542798913
"5","Negative","2/4","TRUE",1391.8,1479.75912162162,1310.64459459459
"6","Positive","3/4","TRUE",1181.91129032258,1260.56935483871,1105.44623655914
"7","Negative","3/4","TRUE",1352.40934065934,1441.49498626374,1279.67554945055
"8","Positive","4/4","TRUE",1248.5188172043,1331.65073924731,1176.31955645161
"9","Positive","0/4","FALSE",1542.43010752688,1641.70275537634,1440.6315188172
"10","Positive","1/4","FALSE",1314.21774193548,1393.31572580645,1237.1752688172
"11","Negative","1/4","FALSE",1261.04301075269,1344.50524193548,1178.13602150538
"12","Positive","2/4","FALSE",1380.5956284153,1466.81659836066,1302.59829234973
"13","Negative","2/4","FALSE",1358.60215053763,1439.82600806452,1282.60120967742
"14","Positive","3/4","FALSE",1331.39945652174,1414.60733695652,1254.8699048913
"15","Negative","3/4","FALSE",1342.56182795699,1422.73689516129,1262.34092741935
"16","Negative","4/4","FALSE",1320.76075268817,1407.38662634409,1244.85577956989
